index,x,y,z,maintype,celltype,leiden
x2_35_0_bc0097,2.2333896,-1.6785438,-2.5437076,Excitatory,ExcL4,3
x2_35_0_bc0098,-1.2950202,-3.6434884,-1.2074174,Excitatory,ExcL23,7
x2_35_0_bc0099,-2.0476303,-3.5239177,-0.42530027,Excitatory,ExcL23,7
x2_35_0_bc0100,1.9408152,0.6491376,-1.8535584,Excitatory,ExcL5_3,9
x2_35_0_bc0101,-0.69537514,-3.1956604,-1.683901,Excitatory,ExcL23,7
x2_35_0_bc0102,-1.6610074,-3.6497505,-0.50228643,Excitatory,ExcL23,7
x2_35_0_bc0103,-2.0102487,-2.9010673,0.013157797,Excitatory,ExcL23,7
x2_35_0_bc0104,0.56791025,0.7482355,-1.530806,Excitatory,ExcL5_2,9
x2_35_0_bc0105,-1.3112019,-3.5662336,-1.2644627,Excitatory,ExcL23,7
x2_35_0_bc0106,0.4541357,0.78436303,-1.4252079,Excitatory,ExcL5_2,9
x2_35_0_bc0107,-0.7667909,2.7727,-1.784154,Excitatory,ExcL6,5
x2_35_0_bc0108,-1.3171262,3.7453737,0.43213037,nan,nan,25
x2_35_0_bc0109,0.23406227,2.6187513,-2.1718366,Excitatory,ExcL6,5
x2_35_0_bc0110,0.52803737,2.6785674,-1.5787747,Excitatory,ExcL6,5
x2_35_0_bc0111,2.2091572,0.7243445,-2.0101373,Excitatory,ExcL5_3,9
x2_35_0_bc0112,0.47884515,-1.9960936,0.7129231,Excitatory,ExcL5_1,8
x2_35_0_bc0113,1.9182389,-3.4408145,-1.79054,Excitatory,ExcL4,3
x2_35_0_bc0114,-0.9032308,-3.2333922,-0.6579542,Excitatory,ExcL23,7
x2_35_0_bc0115,-0.25578764,2.5557363,-3.6830533,Excitatory,ExcL6,5
x2_35_0_bc0116,0.4364181,0.34138942,-1.9969089,Excitatory,ExcL5_2,9
x2_35_0_bc0117,1.9763571,0.6866823,-1.614249,Excitatory,ExcL5_3,9
x2_35_0_bc0118,0.5141844,2.4791834,-1.3307375,Excitatory,ExcL6,5
x2_35_0_bc0119,-1.3458973,-3.2934797,-1.2902929,Excitatory,ExcL23,7
x2_35_0_bc0120,0.92368084,-2.2358885,-1.130377,nan,nan,3
x2_35_0_bc0121,0.43576175,-1.8055822,0.85499895,Excitatory,ExcL5_1,8
x2_35_0_bc0122,2.2679915,-1.8904055,-2.141111,Excitatory,ExcL4,3
x2_35_0_bc0123,1.8232509,6.301204,-0.41310886,nan,nan,14
x2_35_0_bc0124,1.7226207,5.91322,-0.17035046,Interneurons,Int_Sst_1,14
x2_35_0_bc0125,-1.4020231,1.7856584,-2.6134026,Excitatory,ExcL6,5
x2_35_0_bc0126,1.9299046,5.7325044,-0.2917637,Interneurons,Int_Sst_1,14
x2_35_0_bc0127,1.4394214,5.591697,-1.0524504,Interneurons,Int_Pv,14
x2_35_0_bc0128,-0.72770935,2.2588456,-3.2860503,Excitatory,ExcL6,5
x2_35_0_bc0129,2.1535072,-0.27785218,-1.9978825,Excitatory,ExcL5_3,9
x2_35_0_bc0130,1.746174,-1.0215111,-0.95773345,Excitatory,ExcL5_1,9
x2_35_0_bc0131,2.206683,0.7838016,-1.914173,Excitatory,ExcL5_3,9
x2_35_0_bc0132,0.94445807,0.7064654,-1.7068821,Excitatory,ExcL5_2,9
x2_35_0_bc0133,0.27011672,-1.3652434,0.94545716,Excitatory,ExcL5_1,8
x2_35_0_bc0134,-0.9835716,-3.801601,-1.5171232,Excitatory,ExcL23,7
x2_35_0_bc0135,-1.4236306,-3.444697,-0.79979503,Excitatory,ExcL23,7
x2_35_0_bc0136,-0.92810434,-3.057889,-1.762206,Excitatory,ExcL23,7
x2_35_0_bc0137,-1.2975568,2.5574741,-1.9821543,Excitatory,ExcL6,5
x2_35_0_bc0138,1.2685142,3.844333,-0.9986139,nan,nan,14
x2_35_0_bc0139,-0.47884396,2.7757144,-3.392612,Excitatory,ExcL6,5
x2_35_0_bc0140,-1.0172186,-3.8047462,-1.6228216,Excitatory,ExcL23,7
x2_35_0_bc0141,1.906879,0.7833961,-1.9785087,Excitatory,ExcL5_3,9
x2_35_0_bc0142,-0.74649435,-0.5076515,4.8701763,nan,nan,24
x2_35_0_bc0143,-1.0450594,-3.5382566,-1.331197,Excitatory,ExcL23,7
x2_35_0_bc0144,0.6591263,-1.922755,0.22073351,Excitatory,ExcL5_1,8
x2_35_0_bc0145,-1.2297248,-3.2344258,-1.386729,Excitatory,ExcL23,7
x2_35_0_bc0146,-1.9082264,-3.2890303,-0.017742943,Excitatory,ExcL23,7
x2_35_0_bc0147,1.6964139,0.56767154,-1.6688384,Excitatory,ExcL5_3,9
x2_35_0_bc0148,-2.0526054,-2.7261112,-0.37003094,Excitatory,ExcL23,7
x2_35_0_bc0149,2.30018,-1.0254492,-2.058568,Excitatory,ExcL4,3
x2_35_0_bc0150,2.0998259,0.64336115,-1.4332267,Excitatory,ExcL5_3,9
x2_35_0_bc0151,-1.7247277,-3.4035995,-0.7175893,Excitatory,ExcL23,7
x2_35_0_bc0152,2.38335,-1.6639427,-2.1023836,Excitatory,ExcL4,3
x2_35_0_bc0153,-1.6263925,-2.717404,-0.42257383,Excitatory,ExcL23,7
x2_35_0_bc0154,1.8166859,-2.5201185,-1.521039,Excitatory,ExcL4,3
x2_35_0_bc0155,-1.1079885,-2.8693995,-0.9584429,Excitatory,ExcL23,7
x2_35_0_bc0156,-0.4870867,2.392183,-2.3901744,Excitatory,ExcL6,5
x2_35_0_bc0157,2.3040895,-0.5840923,-2.0815392,Excitatory,ExcL4,9
x2_35_0_bc0158,-1.410836,-3.2086866,-1.0163922,Excitatory,ExcL23,7
x2_35_0_bc0159,-0.02983087,-2.9221604,-1.8100985,Excitatory,ExcL23,7
x2_35_0_bc0160,-1.8171232,-2.9179273,-0.717983,Excitatory,ExcL23,7
x2_35_0_bc0161,0.8610868,0.3231853,-1.190584,Excitatory,ExcL5_2,9
x2_35_0_bc0162,-1.3510514,2.3897436,-3.5054567,Excitatory,ExcL6,5
x2_35_0_bc0163,2.0420187,-2.156469,-0.8119287,Excitatory,ExcL5_1,8
x2_35_0_bc0164,1.8513619,-0.23461334,-1.4248273,Excitatory,ExcL5_3,9
x2_35_0_bc0165,2.0450218,0.92211574,-1.6667949,Excitatory,ExcL5_3,9
x2_35_0_bc0166,2.2947295,-1.2760884,-2.3837008,Excitatory,ExcL4,3
x2_35_0_bc0167,0.26552787,-2.3602998,0.6008298,Excitatory,ExcL5_1,8
x2_35_0_bc0168,0.2616351,-2.3171828,0.58115065,Excitatory,ExcL5_1,8
x2_35_0_bc0169,-1.5983548,-2.5185664,-0.33245474,Excitatory,ExcL23,7
x2_35_0_bc0170,1.2084014,5.581846,-1.5297246,Interneurons,Int_Pv,14
x2_35_0_bc0171,1.1715571,5.4985156,-1.5721383,Interneurons,Int_Pv,14
x2_35_0_bc0172,0.30356866,0.41393703,-1.6377617,Excitatory,ExcL5_2,9
x2_35_0_bc0173,-0.121266626,-2.047463,-0.19849597,nan,nan,8
x2_35_0_bc0174,-0.11492647,-3.1130927,-1.098296,Excitatory,ExcL5_1,7
x2_35_0_bc0175,0.6340182,-2.1384208,0.90218425,Excitatory,ExcL5_1,8
x2_35_0_bc0176,1.9453256,-2.0662496,-2.396926,Excitatory,ExcL4,3
x2_35_0_bc0177,2.1895573,-0.718029,-1.8226439,Excitatory,ExcL4,3
x2_35_0_bc0178,-0.45626873,2.833134,-2.598475,Excitatory,ExcL6,5
x2_35_0_bc0179,1.0016816,-1.928228,0.7885723,Excitatory,ExcL5_1,8
x2_35_0_bc0180,0.22337778,2.6974964,-1.6341335,Excitatory,ExcL6,5
x2_35_0_bc0181,0.95028704,-2.3628716,-0.48373544,Excitatory,ExcL5_1,8
x2_35_0_bc0182,1.1871657,5.5535574,-1.4813046,Interneurons,Int_Pv,14
x2_35_0_bc0183,-0.7917223,-2.9597595,-0.5681043,Excitatory,ExcL23,7
x2_35_0_bc0184,-0.7060623,2.499185,-2.7323658,Excitatory,ExcL6,5
x2_35_0_bc0185,-1.5389849,-3.7241073,-0.97349966,Excitatory,ExcL23,7
x2_35_0_bc0186,-2.9989097,2.8772202,5.3479867,nan,nan,27
x2_35_0_bc0187,1.8987492,0.16154431,-1.1302013,Excitatory,ExcL5_3,9
x2_35_0_bc0188,-1.1691427,-3.213761,-1.4850551,Excitatory,ExcL23,7
x2_35_0_bc0189,-1.1989852,-3.3914366,-0.9524118,Excitatory,ExcL23,7
x2_35_0_bc0190,-0.86570156,2.5602708,-2.7011178,Excitatory,ExcL6,5
x2_35_0_bc0191,1.6149322,4.523724,-0.7577677,Interneurons,Int_Cck,14
x2_35_0_bc0192,-0.4601659,-3.710431,-1.7808007,Excitatory,ExcL23,7
x2_35_0_bc0193,-0.6571996,-3.352092,-1.2720141,Excitatory,ExcL23,7
x2_35_0_bc0194,-1.590553,2.7252495,-2.5957708,Excitatory,ExcL6,5
x2_35_0_bc0195,1.0761688,-2.0187135,0.7679685,Excitatory,ExcL5_1,8
x2_35_0_bc0196,1.9497087,-0.82797885,-2.5653408,Excitatory,ExcL4,3
x2_35_0_bc0197,-0.65461546,2.6621652,-1.2647011,nan,nan,5
x2_35_0_bc0198,0.7995651,-1.5163908,0.34658882,Excitatory,ExcL5_1,8
x2_35_0_bc0199,0.44085813,-2.076537,0.87716806,Excitatory,ExcL5_1,8
x2_35_0_bc0200,2.3871763,-1.3080554,-1.9759821,Excitatory,ExcL4,3
x2_35_0_bc0201,-0.78372115,-3.3565023,-1.5594271,Excitatory,ExcL23,7
x2_35_0_bc0202,0.25186646,-2.35561,0.021694263,Excitatory,ExcL5_1,8
x2_35_0_bc0203,1.8424175,5.608943,-0.045816287,Interneurons,Int_Sst_2,14
x2_35_0_bc0204,-1.5604057,-3.2285297,-0.2027136,Excitatory,ExcL23,7
x2_35_0_bc0205,-1.352863,-3.040399,-0.3416912,Excitatory,ExcL23,7
x2_35_0_bc0206,1.4194301,-1.5162861,-0.6793438,Excitatory,ExcL5_1,8
x2_35_0_bc0207,0.75407815,2.6398134,-1.2742324,Excitatory,ExcL6,5
x2_35_0_bc0208,-1.0388967,-3.558979,-1.0349082,Excitatory,ExcL23,7
x2_35_0_bc0209,1.7201395,5.613588,-0.27763,Interneurons,Int_Sst_1,14
x2_35_0_bc0210,-0.37925974,2.7297323,-2.1202638,Excitatory,ExcL6,5
x2_35_0_bc0211,-0.5734358,-3.2964346,-1.6151185,Excitatory,ExcL23,7
x2_35_0_bc0212,2.4370444,-1.1401412,-1.7401779,Excitatory,ExcL4,3
x2_35_0_bc0213,1.2538463,5.5873055,-1.5804075,Interneurons,Int_Pv,14
x2_35_0_bc0214,0.6906207,2.7979043,-1.5052378,Excitatory,ExcL6,5
x2_35_0_bc0215,1.4072139,-1.974334,-2.216078,Excitatory,ExcL4,3
x2_35_0_bc0216,1.2850938,5.631104,-1.5223956,Interneurons,Int_Pv,14
x2_35_0_bc0217,1.9015557,-0.8267885,-1.0192697,Excitatory,ExcL5_3,3
x2_35_0_bc0218,1.7998949,0.69390666,-1.9047061,Excitatory,ExcL5_3,9
x2_35_0_bc0219,-0.063752055,-1.6050501,0.6225883,Excitatory,ExcL5_1,8
x2_35_0_bc0220,1.6105013,5.7374434,0.16416778,Interneurons,Int_Sst_1,14
x2_35_0_bc0221,-1.2386466,2.7077243,-2.0358613,Excitatory,ExcL6,5
x2_35_0_bc0222,1.1935909,-2.777257,0.59518903,Excitatory,ExcL5_1,8
x2_35_0_bc0223,1.8832281,-1.4933512,-0.6247266,nan,nan,8
x2_35_0_bc0224,0.43928906,-1.5362881,0.9350673,Excitatory,ExcL5_1,8
x2_35_0_bc0225,1.4834952,-4.938574,8.1817665,Oligodendrocytes,Olig_1,12
x2_35_0_bc0226,1.3691993,-1.690099,-0.98878783,Excitatory,ExcL5_1,8
x2_35_0_bc0227,1.1242408,-1.726511,0.4014701,Excitatory,ExcL5_1,8
x2_35_0_bc0228,0.70595866,0.08869243,-1.4951403,Excitatory,ExcL5_3,9
x2_35_0_bc0229,1.842959,5.7974267,-0.10082616,Interneurons,Int_Sst_1,14
x2_35_0_bc0230,1.9990975,1.0706239,-1.7508765,Excitatory,ExcL5_3,9
x2_35_0_bc0231,1.7129165,5.9140534,-0.70213836,Interneurons,Int_Sst_2,14
x2_35_0_bc0232,1.1000826,-2.8847218,-0.03838556,Excitatory,ExcL5_1,8
x2_35_0_bc0233,1.2326982,-1.9789392,0.10576797,Excitatory,ExcL5_1,8
x2_35_0_bc0234,-0.5307242,-3.1480215,-0.8743979,Excitatory,ExcL23,7
x2_35_0_bc0235,1.9022135,0.7910701,-2.172869,Excitatory,ExcL5_3,9
x2_35_0_bc0236,0.8156895,-2.4370341,7.047105,nan,nan,24
x2_35_0_bc0237,-1.1055887,2.8215017,-2.8491642,Excitatory,ExcL6,5
x2_35_0_bc0238,1.9844521,0.49464694,-2.1735387,Excitatory,ExcL5_3,9
x2_35_0_bc0239,-1.3603292,2.79852,-2.2832239,Excitatory,ExcL6,5
x2_35_0_bc0240,1.357751,5.5502706,-1.2325876,Interneurons,Int_Pv,14
x2_35_0_bc0241,-1.2002376,-3.3980699,-1.4027392,Excitatory,ExcL23,7
x2_35_0_bc0242,1.3743052,5.749827,-1.3978456,Interneurons,Int_Pv,14
x2_35_0_bc0243,2.128309,-0.8778653,-1.9277943,Excitatory,ExcL4,3
x2_35_0_bc0244,2.1733024,5.166555,-0.40252322,Interneurons,Int_Cck,14
x2_35_0_bc0245,0.7929242,-2.0018408,-1.6594123,nan,nan,3
x2_35_0_bc0246,0.6660457,0.35655218,-1.3446119,Excitatory,ExcL5_2,9
x2_35_0_bc0247,1.7963396,0.32781744,-1.8049927,Excitatory,ExcL5_3,9
x2_35_0_bc0248,2.0542102,-2.0015078,-2.1340315,Excitatory,ExcL4,3
x2_35_0_bc0249,-0.7035003,-0.53841287,4.6636424,nan,nan,24
x2_35_0_bc0250,0.5589506,-1.897413,1.0699066,Excitatory,ExcL5_1,8
x2_35_0_bc0251,-0.47318324,2.5721657,-2.5790248,Excitatory,ExcL6,5
x2_35_0_bc0252,1.7712548,5.628863,-0.1709878,Interneurons,Int_Sst_1,14
x2_35_0_bc0253,2.1081076,0.23935293,-1.1478817,Excitatory,ExcL5_3,9
x2_35_0_bc0254,1.2820846,5.677982,-1.679498,Interneurons,Int_Pv,14
x2_35_0_bc0255,1.2713358,5.6724205,-1.3987445,Interneurons,Int_Pv,14
x2_35_0_bc0256,-1.5091906,-3.1326554,-1.0396609,Excitatory,ExcL23,7
x2_35_0_bc0257,0.92422265,-1.2847891,0.53220546,Excitatory,ExcL5_1,8
x2_35_0_bc0258,3.3669477,-4.9798636,6.5886216,Oligodendrocytes,Olig_6,12
x2_35_0_bc0259,2.1192913,4.9922204,-0.30466262,Interneurons,Int_Cck,14
x2_35_0_bc0260,0.17575221,-3.204914,-1.28623,Excitatory,ExcL5_1,7
x2_35_0_bc0261,1.3296022,5.577827,-0.20394893,Interneurons,Int_Sst_2,14
x2_35_0_bc0262,-0.82015055,-3.5796077,-1.7710904,Excitatory,ExcL23,7
x2_35_0_bc0263,2.4198782,-0.5892196,-1.7732815,Excitatory,ExcL4,9
x2_35_0_bc0264,-1.5925049,-2.3233929,-0.44534793,Excitatory,ExcL23,7
x2_35_0_bc0265,2.0740354,-1.8129462,-0.99798983,Excitatory,ExcL5_1,3
x2_35_0_bc0266,1.0711727,-2.2779474,0.33545238,Excitatory,ExcL5_1,8
x2_35_0_bc0267,2.403625,6.11399,-1.2072743,Interneurons,Int_Npy,14
x2_35_0_bc0268,0.68988484,-1.9641684,1.2366912,Excitatory,ExcL5_1,8
x2_35_0_bc0269,-0.23520292,2.735929,-1.9227906,Excitatory,ExcL6,5
x2_35_0_bc0270,-1.4947885,-3.5611422,-1.158404,Excitatory,ExcL23,7
x2_35_0_bc0271,-1.7794292,-2.831045,-0.75242406,Excitatory,ExcL23,7
x2_35_0_bc0272,3.6483712,1.1458763,1.7628994,nan,nan,20
x2_35_0_bc0273,-1.1338074,2.5725176,-2.2101746,Excitatory,ExcL6,5
x2_35_0_bc0274,2.3880198,0.8035541,-1.6755259,Excitatory,ExcL5_3,9
x2_35_0_bc0275,-1.0357863,-3.5825174,-1.2473248,Excitatory,ExcL23,7
x2_35_0_bc0276,1.627164,5.7133303,-0.14778061,Interneurons,Int_Sst_2,14
x2_35_0_bc0277,2.151407,0.55640316,-1.1409587,Excitatory,ExcL5_3,9
x2_35_0_bc0278,1.3473083,5.631376,-1.1845737,Interneurons,Int_Pv,14
x2_35_0_bc0279,-1.6861627,-3.4982364,-0.994043,Excitatory,ExcL23,7
x2_35_0_bc0280,-1.2821125,2.358069,-2.13034,Excitatory,ExcL6,5
x2_35_0_bc0281,-0.3125837,2.4894633,-2.012436,Excitatory,ExcL6,5
x2_35_0_bc0282,-1.2987435,-3.436307,-1.6845771,Excitatory,ExcL23,7
x2_35_0_bc0283,2.2805068,-0.4304193,-1.4162674,Excitatory,ExcL5_3,9
x2_35_0_bc0284,-1.0757105,2.7467463,-3.040709,Excitatory,ExcL6,5
x2_35_0_bc0285,2.010946,-2.6108432,-1.8975241,Excitatory,ExcL4,3
x2_35_0_bc0286,-1.5438432,-3.1637063,-0.83961266,Excitatory,ExcL23,7
x2_35_0_bc0287,2.5688398,-1.0226115,-1.4100832,Excitatory,ExcL5_1,9
x2_35_0_bc0288,1.1470518,2.569928,0.018745199,Excitatory,Sub,23
x2_35_0_bc0289,2.1449664,0.6714321,-1.627896,Excitatory,ExcL5_3,9
x2_35_0_bc0290,0.251873,-1.7625327,0.91638285,Excitatory,ExcL5_1,8
x2_35_0_bc0291,1.1043552,-2.5246227,-0.028124493,Excitatory,ExcL5_1,8
x2_35_0_bc0292,0.64558446,0.34611848,-0.840675,Excitatory,ExcL5_2,9
x2_35_0_bc0293,1.9428618,0.8377165,-1.5278499,Excitatory,ExcL5_3,9
x2_35_0_bc0294,2.1245875,0.89657754,-1.9539943,Excitatory,ExcL5_3,9
x2_35_0_bc0295,1.7056646,6.040362,-0.4293823,Interneurons,Int_Sst_2,14
x2_35_0_bc0296,-2.0436604,2.5126145,-2.958988,Excitatory,ExcL6,5
x2_35_0_bc0297,-0.42664784,-0.65313643,5.462332,nan,nan,24
x2_35_0_bc0298,-0.099830665,-3.0341663,-2.2533739,Excitatory,ExcL23,7
x2_35_0_bc0299,1.3656499,5.513646,-1.2612759,Interneurons,Int_Pv,14
x2_35_0_bc0300,2.2336402,0.94542783,-1.8139918,Excitatory,ExcL5_3,9
x2_35_0_bc0301,-0.8639192,5.182486,0.65974855,nan,nan,25
x2_35_0_bc0302,2.106865,0.37213826,-1.3900353,Excitatory,ExcL5_3,9
x2_35_0_bc0303,1.785053,5.6334133,-0.35308212,Interneurons,Int_Sst_1,14
x2_35_0_bc0304,2.9412615,0.5834142,1.8048614,nan,nan,20
x2_35_0_bc0305,-0.89379895,1.9824291,-2.4368346,nan,nan,5
x2_35_0_bc0306,-0.45108166,-3.2387185,-1.4900905,Excitatory,ExcL23,7
x2_35_0_bc0307,0.633597,-2.4484775,1.0732573,Excitatory,ExcL5_1,8
x2_35_0_bc0308,2.4705822,-1.3528175,-2.0695539,Excitatory,ExcL4,3
x2_35_0_bc0309,-1.1011916,-3.6018317,-1.396779,Excitatory,ExcL23,7
x2_35_0_bc0310,0.36021048,0.22432622,-1.9223524,Excitatory,ExcL5_2,9
x2_35_0_bc0311,0.787259,-2.235989,0.98300904,Excitatory,ExcL5_1,8
x2_35_0_bc0312,-1.3161384,-3.581231,-2.6047878,Excitatory,ExcL23,7
x2_35_0_bc0313,1.4406657,-2.032681,-1.251563,Excitatory,ExcL5_1,8
x2_35_0_bc0314,-1.4200072,-3.5016935,-1.0107529,Excitatory,ExcL23,7
x2_35_0_bc0315,0.4902518,2.8109386,-1.6114038,Excitatory,ExcL6,5
x2_35_0_bc0316,-1.1147676,-3.0116365,-1.1200435,Excitatory,ExcL23,7
x2_35_0_bc0317,1.9442552,5.689038,-0.43474603,Interneurons,Int_Sst_1,14
x2_35_0_bc0318,-0.73036635,2.7188716,-2.723923,Excitatory,ExcL6,5
x2_35_0_bc0319,-1.8554031,-2.6804056,-0.3659759,Excitatory,ExcL23,7
x2_35_0_bc0320,-1.0166501,2.3607178,-2.6311815,Excitatory,ExcL6,5
